id,container_transhipment_master_id,period,state_board_id,port_board_id,transhipment_data,status,approved_on,created_by_user_id,updated_by_user_id,created_on,modified_on
1,1,2017,,8,4890.000,Approved,2017-05-12 16:04:37,35,,2017-04-20 13:40:21,
2,2,2017,,8,13104.000,Approved,2017-05-12 16:04:37,35,,2017-04-20 13:40:21,
3,3,2017,,8,15.000,Approved,2017-05-12 16:04:37,35,,2017-04-20 13:40:21,
4,4,2017,,8,145814.000,Approved,2017-05-12 16:04:37,35,,2017-04-20 13:40:21,
5,5,2017,,8,36903.000,Approved,2017-05-12 16:04:37,35,,2017-04-20 13:40:21,
6,6,2017,,8,66345.000,Approved,2017-05-12 16:04:37,35,,2017-04-20 13:40:21,
7,7,2017,,8,171712.000,Approved,2017-05-12 16:04:37,35,,2017-04-20 13:40:21,
8,8,2017,,8,18695.000,Approved,2017-05-12 16:04:37,35,,2017-04-20 13:40:21,
9,1,2017,,7,31.000,Approved,2017-07-28 10:33:01,20,,2017-07-28 10:32:02,
10,2,2017,,7,0.000,Approved,2017-07-28 10:33:01,20,,2017-07-28 10:32:02,
11,3,2017,,7,0.000,Approved,2017-07-28 10:33:01,20,,2017-07-28 10:32:02,
12,4,2017,,7,373587.000,Approved,2017-07-28 10:33:01,20,,2017-07-28 10:32:02,
13,5,2017,,7,15205.000,Approved,2017-07-28 10:33:01,20,,2017-07-28 10:32:02,
14,6,2017,,7,1098.000,Approved,2017-07-28 10:33:01,20,,2017-07-28 10:32:02,
15,7,2017,,7,92531.000,Approved,2017-07-28 10:33:01,20,,2017-07-28 10:32:02,
16,8,2017,,7,1572247.000,Approved,2017-07-28 10:33:01,20,,2017-07-28 10:32:02,
17,1,2016,,7,1756.000,Approved,2017-07-28 10:35:47,20,,2017-07-28 10:34:29,
18,2,2016,,7,1018.000,Approved,2017-07-28 10:35:47,20,,2017-07-28 10:34:29,
19,3,2016,,7,0.000,Approved,2017-07-28 10:35:47,20,,2017-07-28 10:34:29,
20,4,2016,,7,430650.000,Approved,2017-07-28 10:35:47,20,,2017-07-28 10:34:29,
21,5,2016,,7,9199.000,Approved,2017-07-28 10:35:47,20,,2017-07-28 10:34:29,
22,6,2016,,7,752.000,Approved,2017-07-28 10:35:47,20,,2017-07-28 10:34:29,
23,7,2016,,7,77989.000,Approved,2017-07-28 10:35:47,20,,2017-07-28 10:34:29,
24,8,2016,,7,88925.000,Approved,2017-07-28 10:35:47,20,,2017-07-28 10:34:29,
25,1,2017,,11,615.000,Approved,2017-07-28 12:35:46,30,,2017-07-28 11:43:43,
26,2,2017,,11,421.000,Approved,2017-07-28 12:35:46,30,,2017-07-28 11:43:43,
27,3,2017,,11,0.000,Approved,2017-07-28 12:35:46,30,,2017-07-28 11:43:43,
28,4,2017,,11,3006.000,Approved,2017-07-28 12:35:46,30,,2017-07-28 11:43:43,
29,5,2017,,11,956.000,Approved,2017-07-28 12:35:46,30,,2017-07-28 11:43:43,
30,6,2017,,11,25616.000,Approved,2017-07-28 12:35:46,30,,2017-07-28 11:43:43,
31,7,2017,,11,18143.000,Approved,2017-07-28 12:35:46,30,,2017-07-28 11:43:43,
32,8,2017,,11,2934337.000,Approved,2017-07-28 12:35:46,30,,2017-07-28 11:43:43,
33,1,2016,,10,0.000,Approved,2017-07-29 12:30:11,61,,2017-07-29 12:27:34,
34,2,2016,,10,0.000,Approved,2017-07-29 12:30:11,61,,2017-07-29 12:27:34,
35,3,2016,,10,0.000,Approved,2017-07-29 12:30:11,61,,2017-07-29 12:27:34,
36,4,2016,,10,21536.000,Approved,2017-07-29 12:30:11,61,,2017-07-29 12:27:34,
37,5,2016,,10,0.000,Approved,2017-07-29 12:30:11,61,,2017-07-29 12:27:34,
38,6,2016,,10,0.000,Approved,2017-07-29 12:30:11,61,,2017-07-29 12:27:34,
39,7,2016,,10,4001.000,Approved,2017-07-29 12:30:11,61,,2017-07-29 12:27:34,
40,8,2016,,10,0.000,Approved,2017-07-29 12:30:11,61,,2017-07-29 12:27:34,
41,1,2017,,10,0.000,Approved,2017-07-29 12:30:27,61,,2017-07-29 12:29:04,
42,2,2017,,10,0.000,Approved,2017-07-29 12:30:27,61,,2017-07-29 12:29:04,
43,3,2017,,10,0.000,Approved,2017-07-29 12:30:27,61,,2017-07-29 12:29:04,
44,4,2017,,10,26111.000,Approved,2017-07-29 12:30:27,61,,2017-07-29 12:29:04,
45,5,2017,,10,0.000,Approved,2017-07-29 12:30:27,61,,2017-07-29 12:29:04,
46,6,2017,,10,0.000,Approved,2017-07-29 12:30:27,61,,2017-07-29 12:29:04,
47,7,2017,,10,3521.000,Approved,2017-07-29 12:30:27,61,,2017-07-29 12:29:04,
48,8,2017,,10,0.000,Approved,2017-07-29 12:30:27,61,,2017-07-29 12:29:04,
49,1,2016,9,50,0.000,Approved,2017-10-10 16:47:12,113,,2017-09-27 09:54:27,
50,2,2016,9,50,0.000,Approved,2017-10-10 16:47:12,113,,2017-09-27 09:54:27,
51,3,2016,9,50,0.000,Approved,2017-10-10 16:47:12,113,,2017-09-27 09:54:27,
52,4,2016,9,50,0.000,Approved,2017-10-10 16:47:12,113,,2017-09-27 09:54:27,
53,5,2016,9,50,0.000,Approved,2017-10-10 16:47:12,113,,2017-09-27 09:54:27,
54,6,2016,9,50,0.000,Approved,2017-10-10 16:47:12,113,,2017-09-27 09:54:27,
55,7,2016,9,50,0.000,Approved,2017-10-10 16:47:12,113,,2017-09-27 09:54:27,
56,8,2016,9,50,0.000,Approved,2017-10-10 16:47:12,113,,2017-09-27 09:54:27,
57,1,2017,9,50,0.000,Approved,2017-10-10 16:47:22,113,,2017-09-27 09:54:38,
58,2,2017,9,50,0.000,Approved,2017-10-10 16:47:22,113,,2017-09-27 09:54:38,
59,3,2017,9,50,0.000,Approved,2017-10-10 16:47:22,113,,2017-09-27 09:54:38,
60,4,2017,9,50,0.000,Approved,2017-10-10 16:47:22,113,,2017-09-27 09:54:38,
61,5,2017,9,50,0.000,Approved,2017-10-10 16:47:22,113,,2017-09-27 09:54:38,
62,6,2017,9,50,0.000,Approved,2017-10-10 16:47:22,113,,2017-09-27 09:54:38,
63,7,2017,9,50,0.000,Approved,2017-10-10 16:47:22,113,,2017-09-27 09:54:38,
64,8,2017,9,50,0.000,Approved,2017-10-10 16:47:22,113,,2017-09-27 09:54:38,
65,1,2017,9,48,0.000,Approved,2017-10-09 14:36:30,112,,2017-10-03 17:13:05,
66,2,2017,9,48,0.000,Approved,2017-10-09 14:36:30,112,,2017-10-03 17:13:05,
67,3,2017,9,48,0.000,Approved,2017-10-09 14:36:30,112,,2017-10-03 17:13:05,
68,4,2017,9,48,0.000,Approved,2017-10-09 14:36:30,112,,2017-10-03 17:13:05,
69,5,2017,9,48,0.000,Approved,2017-10-09 14:36:30,112,,2017-10-03 17:13:05,
70,6,2017,9,48,2.000,Approved,2017-10-09 14:36:30,112,,2017-10-03 17:13:05,
71,7,2017,9,48,21.000,Approved,2017-10-09 14:36:30,112,,2017-10-03 17:13:05,
72,8,2017,9,48,0.000,Approved,2017-10-09 14:36:30,112,,2017-10-03 17:13:05,
73,1,2018,,8,4607.000,Approved,2018-08-13 16:44:19,35,,2018-05-03 10:19:12,
74,2,2018,,8,15176.000,Approved,2018-08-13 16:44:19,35,,2018-05-03 10:19:12,
75,3,2018,,8,0.000,Approved,2018-08-13 16:44:19,35,,2018-05-03 10:19:12,
76,4,2018,,8,153847.000,Approved,2018-08-13 16:44:19,35,,2018-05-03 10:19:12,
77,5,2018,,8,41136.000,Approved,2018-08-13 16:44:19,35,,2018-05-03 10:19:12,
78,6,2018,,8,67151.000,Approved,2018-08-13 16:44:19,35,,2018-05-03 10:19:12,
79,7,2018,,8,213255.000,Approved,2018-08-13 16:44:19,35,,2018-05-03 10:19:12,
80,8,2018,,8,19825.000,Approved,2018-08-13 16:44:19,35,,2018-05-03 10:19:12,
81,1,2018,9,52,0.000,Approved,2018-09-14 15:24:26,115,,2018-09-14 13:00:35,
82,2,2018,9,52,0.000,Approved,2018-09-14 15:24:26,115,,2018-09-14 13:00:35,
83,3,2018,9,52,0.000,Approved,2018-09-14 15:24:26,115,,2018-09-14 13:00:35,
84,4,2018,9,52,0.000,Approved,2018-09-14 15:24:26,115,,2018-09-14 13:00:35,
85,5,2018,9,52,0.000,Approved,2018-09-14 15:24:26,115,,2018-09-14 13:00:35,
86,6,2018,9,52,0.000,Approved,2018-09-14 15:24:26,115,,2018-09-14 13:00:35,
87,7,2018,9,52,0.000,Approved,2018-09-14 15:24:26,115,,2018-09-14 13:00:35,
88,8,2018,9,52,0.000,Approved,2018-09-14 15:24:26,115,,2018-09-14 13:00:35,
89,1,2018,,11,1609.000,Approved,2018-10-15 12:29:04,30,31,2018-09-25 17:13:12,2018-10-15 12:29:04
90,2,2018,,11,1225.000,Approved,2018-10-15 12:29:04,30,31,2018-09-25 17:13:12,2018-10-15 12:29:04
91,3,2018,,11,0.000,Approved,2018-10-15 12:29:04,30,31,2018-09-25 17:13:12,2018-10-15 12:29:04
92,4,2018,,11,2823.000,Approved,2018-10-15 12:29:04,30,31,2018-09-25 17:13:12,2018-10-15 12:29:04
93,5,2018,,11,1455.000,Approved,2018-10-15 12:29:04,30,31,2018-09-25 17:13:12,2018-10-15 12:29:04
94,6,2018,,11,40259.000,Approved,2018-10-15 12:29:04,30,31,2018-09-25 17:13:12,2018-10-15 12:29:04
95,7,2018,,11,15526.000,Approved,2018-10-15 12:29:04,30,31,2018-09-25 17:13:12,2018-10-15 12:29:04
96,8,2018,,11,4770501.000,Approved,2018-10-15 12:29:04,30,31,2018-09-25 17:13:12,2018-10-15 12:29:04
97,1,2017,9,52,0.000,Approved,2018-10-23 12:24:49,115,114,2018-09-25 17:24:54,2018-10-23 12:24:49
98,2,2017,9,52,0.000,Approved,2018-10-23 12:24:49,115,114,2018-09-25 17:24:54,2018-10-23 12:24:49
99,3,2017,9,52,0.000,Approved,2018-10-23 12:24:49,115,114,2018-09-25 17:24:54,2018-10-23 12:24:49
100,4,2017,9,52,0.000,Approved,2018-10-23 12:24:49,115,114,2018-09-25 17:24:54,2018-10-23 12:24:49
101,5,2017,9,52,0.000,Approved,2018-10-23 12:24:49,115,114,2018-09-25 17:24:54,2018-10-23 12:24:49
102,6,2017,9,52,0.000,Approved,2018-10-23 12:24:49,115,114,2018-09-25 17:24:54,2018-10-23 12:24:49
103,7,2017,9,52,0.000,Approved,2018-10-23 12:24:49,115,114,2018-09-25 17:24:54,2018-10-23 12:24:49
104,8,2017,9,52,0.000,Approved,2018-10-23 12:24:49,115,114,2018-09-25 17:24:54,2018-10-23 12:24:49
105,1,2018,,7,0.000,Approved,2018-10-03 12:09:32,20,,2018-10-03 12:07:45,
106,2,2018,,7,0.000,Approved,2018-10-03 12:09:32,20,,2018-10-03 12:07:45,
107,3,2018,,7,0.000,Approved,2018-10-03 12:09:32,20,,2018-10-03 12:07:45,
108,4,2018,,7,485639.000,Approved,2018-10-03 12:09:32,20,,2018-10-03 12:07:45,
109,5,2018,,7,0.000,Approved,2018-10-03 12:09:32,20,,2018-10-03 12:07:45,
110,6,2018,,7,0.000,Approved,2018-10-03 12:09:32,20,,2018-10-03 12:07:45,
111,7,2018,,7,158270.000,Approved,2018-10-03 12:09:32,20,,2018-10-03 12:07:45,
112,8,2018,,7,53722.000,Approved,2018-10-03 12:09:32,20,,2018-10-03 12:07:45,
113,1,2018,9,50,0.000,Approved,2018-10-09 11:10:36,113,,2018-10-09 10:49:57,
114,2,2018,9,50,0.000,Approved,2018-10-09 11:10:36,113,,2018-10-09 10:49:57,
115,3,2018,9,50,0.000,Approved,2018-10-09 11:10:36,113,,2018-10-09 10:49:57,
116,4,2018,9,50,0.000,Approved,2018-10-09 11:10:36,113,,2018-10-09 10:49:57,
117,5,2018,9,50,0.000,Approved,2018-10-09 11:10:36,113,,2018-10-09 10:49:57,
118,6,2018,9,50,0.000,Approved,2018-10-09 11:10:36,113,,2018-10-09 10:49:57,
119,7,2018,9,50,0.000,Approved,2018-10-09 11:10:36,113,,2018-10-09 10:49:57,
120,8,2018,9,50,0.000,Approved,2018-10-09 11:10:36,113,,2018-10-09 10:49:57,
121,1,2017,6,37,0.000,Approved,2018-11-03 18:06:54,167,,2018-10-29 15:10:36,
122,2,2017,6,37,0.000,Approved,2018-11-03 18:06:54,167,,2018-10-29 15:10:36,
123,3,2017,6,37,0.000,Approved,2018-11-03 18:06:54,167,,2018-10-29 15:10:36,
124,4,2017,6,37,0.000,Approved,2018-11-03 18:06:54,167,,2018-10-29 15:10:36,
125,5,2017,6,37,0.000,Approved,2018-11-03 18:06:54,167,,2018-10-29 15:10:36,
126,6,2017,6,37,0.000,Approved,2018-11-03 18:06:54,167,,2018-10-29 15:10:36,
127,7,2017,6,37,0.000,Approved,2018-11-03 18:06:54,167,,2018-10-29 15:10:36,
128,8,2017,6,37,0.000,Approved,2018-11-03 18:06:54,167,,2018-10-29 15:10:36,
129,1,2018,6,37,0.000,Approved,2018-11-03 18:07:00,167,,2018-10-29 15:11:00,
130,2,2018,6,37,0.000,Approved,2018-11-03 18:07:00,167,,2018-10-29 15:11:00,
131,3,2018,6,37,0.000,Approved,2018-11-03 18:07:00,167,,2018-10-29 15:11:00,
132,4,2018,6,37,0.000,Approved,2018-11-03 18:07:00,167,,2018-10-29 15:11:00,
133,5,2018,6,37,0.000,Approved,2018-11-03 18:07:00,167,,2018-10-29 15:11:00,
134,6,2018,6,37,0.000,Approved,2018-11-03 18:07:00,167,,2018-10-29 15:11:00,
135,7,2018,6,37,0.000,Approved,2018-11-03 18:07:00,167,,2018-10-29 15:11:00,
136,8,2018,6,37,0.000,Approved,2018-11-03 18:07:00,167,,2018-10-29 15:11:00,
137,1,2018,5,99,0.000,Approval Awaited,,149,,2018-11-12 14:50:45,
138,2,2018,5,99,0.000,Approval Awaited,,149,,2018-11-12 14:50:45,
139,3,2018,5,99,0.000,Approval Awaited,,149,,2018-11-12 14:50:45,
140,4,2018,5,99,0.000,Approval Awaited,,149,,2018-11-12 14:50:45,
141,5,2018,5,99,0.000,Approval Awaited,,149,,2018-11-12 14:50:45,
142,6,2018,5,99,0.000,Approval Awaited,,149,,2018-11-12 14:50:45,
143,7,2018,5,99,0.000,Approval Awaited,,149,,2018-11-12 14:50:45,
144,8,2018,5,99,0.000,Approval Awaited,,149,,2018-11-12 14:50:45,
145,1,2018,3,27,0.000,Approved,2018-11-20 11:43:17,68,,2018-11-20 11:34:40,
146,2,2018,3,27,0.000,Approved,2018-11-20 11:43:17,68,,2018-11-20 11:34:40,
147,3,2018,3,27,0.000,Approved,2018-11-20 11:43:17,68,,2018-11-20 11:34:40,
148,4,2018,3,27,0.000,Approved,2018-11-20 11:43:17,68,,2018-11-20 11:34:40,
149,5,2018,3,27,0.000,Approved,2018-11-20 11:43:17,68,,2018-11-20 11:34:40,
150,6,2018,3,27,0.000,Approved,2018-11-20 11:43:17,68,,2018-11-20 11:34:40,
151,7,2018,3,27,0.000,Approved,2018-11-20 11:43:17,68,,2018-11-20 11:34:40,
152,8,2018,3,27,0.000,Approved,2018-11-20 11:43:17,68,,2018-11-20 11:34:40,
153,1,2018,3,29,0.000,Approved,2019-01-03 11:38:22,120,,2018-12-04 16:27:03,
154,2,2018,3,29,0.000,Approved,2019-01-03 11:38:22,120,,2018-12-04 16:27:03,
155,3,2018,3,29,0.000,Approved,2019-01-03 11:38:22,120,,2018-12-04 16:27:03,
156,4,2018,3,29,0.000,Approved,2019-01-03 11:38:22,120,,2018-12-04 16:27:03,
157,5,2018,3,29,0.000,Approved,2019-01-03 11:38:22,120,,2018-12-04 16:27:03,
158,6,2018,3,29,0.000,Approved,2019-01-03 11:38:22,120,,2018-12-04 16:27:03,
159,7,2018,3,29,0.000,Approved,2019-01-03 11:38:22,120,,2018-12-04 16:27:03,
160,8,2018,3,29,0.000,Approved,2019-01-03 11:38:22,120,,2018-12-04 16:27:03,
161,1,2018,3,28,0.000,Approved,2018-12-13 16:29:44,70,,2018-12-13 15:59:33,
162,2,2018,3,28,0.000,Approved,2018-12-13 16:29:44,70,,2018-12-13 15:59:33,
163,3,2018,3,28,0.000,Approved,2018-12-13 16:29:44,70,,2018-12-13 15:59:33,
164,4,2018,3,28,0.000,Approved,2018-12-13 16:29:44,70,,2018-12-13 15:59:33,
165,5,2018,3,28,0.000,Approved,2018-12-13 16:29:44,70,,2018-12-13 15:59:33,
166,6,2018,3,28,0.000,Approved,2018-12-13 16:29:44,70,,2018-12-13 15:59:33,
167,7,2018,3,28,0.000,Approved,2018-12-13 16:29:44,70,,2018-12-13 15:59:33,
168,8,2018,3,28,0.000,Approved,2018-12-13 16:29:44,70,,2018-12-13 15:59:33,
169,1,2017,3,28,0.000,Approved,2018-12-13 16:29:50,70,,2018-12-13 15:59:46,
170,2,2017,3,28,0.000,Approved,2018-12-13 16:29:50,70,,2018-12-13 15:59:46,
171,3,2017,3,28,0.000,Approved,2018-12-13 16:29:50,70,,2018-12-13 15:59:46,
172,4,2017,3,28,0.000,Approved,2018-12-13 16:29:50,70,,2018-12-13 15:59:46,
173,5,2017,3,28,0.000,Approved,2018-12-13 16:29:50,70,,2018-12-13 15:59:46,
174,6,2017,3,28,0.000,Approved,2018-12-13 16:29:50,70,,2018-12-13 15:59:46,
175,7,2017,3,28,0.000,Approved,2018-12-13 16:29:50,70,,2018-12-13 15:59:46,
176,8,2017,3,28,0.000,Approved,2018-12-13 16:29:50,70,,2018-12-13 15:59:46,
177,1,2019,3,29,0.000,Approved,2019-04-09 13:06:14,120,,2019-03-04 16:18:49,
178,2,2019,3,29,0.000,Approved,2019-04-09 13:06:14,120,,2019-03-04 16:18:49,
179,3,2019,3,29,0.000,Approved,2019-04-09 13:06:14,120,,2019-03-04 16:18:49,
180,4,2019,3,29,0.000,Approved,2019-04-09 13:06:14,120,,2019-03-04 16:18:49,
181,5,2019,3,29,0.000,Approved,2019-04-09 13:06:14,120,,2019-03-04 16:18:49,
182,6,2019,3,29,0.000,Approved,2019-04-09 13:06:14,120,,2019-03-04 16:18:49,
183,7,2019,3,29,0.000,Approved,2019-04-09 13:06:14,120,,2019-03-04 16:18:49,
184,8,2019,3,29,0.000,Approved,2019-04-09 13:06:14,120,,2019-03-04 16:18:49,
185,1,2019,9,50,0.000,Approved,2019-09-04 13:21:00,113,,2019-09-04 13:03:49,
186,2,2019,9,50,0.000,Approved,2019-09-04 13:21:00,113,,2019-09-04 13:03:49,
187,3,2019,9,50,0.000,Approved,2019-09-04 13:21:00,113,,2019-09-04 13:03:49,
188,4,2019,9,50,0.000,Approved,2019-09-04 13:21:00,113,,2019-09-04 13:03:49,
189,5,2019,9,50,0.000,Approved,2019-09-04 13:21:00,113,,2019-09-04 13:03:49,
190,6,2019,9,50,0.000,Approved,2019-09-04 13:21:00,113,,2019-09-04 13:03:49,
191,7,2019,9,50,0.000,Approved,2019-09-04 13:21:00,113,,2019-09-04 13:03:49,
192,8,2019,9,50,0.000,Approved,2019-09-04 13:21:00,113,,2019-09-04 13:03:49,
193,1,2020,9,50,0.000,Approved,2020-05-04 12:05:47,113,,2020-05-04 12:00:52,
194,2,2020,9,50,0.000,Approved,2020-05-04 12:05:47,113,,2020-05-04 12:00:52,
195,3,2020,9,50,0.000,Approved,2020-05-04 12:05:47,113,,2020-05-04 12:00:52,
196,4,2020,9,50,0.000,Approved,2020-05-04 12:05:47,113,,2020-05-04 12:00:52,
197,5,2020,9,50,0.000,Approved,2020-05-04 12:05:47,113,,2020-05-04 12:00:52,
198,6,2020,9,50,0.000,Approved,2020-05-04 12:05:47,113,,2020-05-04 12:00:52,
199,7,2020,9,50,0.000,Approved,2020-05-04 12:05:47,113,,2020-05-04 12:00:52,
200,8,2020,9,50,0.000,Approved,2020-05-04 12:05:47,113,,2020-05-04 12:00:52,
201,1,2020,3,28,0.000,Approved,2020-05-08 11:16:20,70,,2020-05-06 12:45:14,
202,2,2020,3,28,0.000,Approved,2020-05-08 11:16:20,70,,2020-05-06 12:45:14,
203,3,2020,3,28,0.000,Approved,2020-05-08 11:16:20,70,,2020-05-06 12:45:14,
204,4,2020,3,28,0.000,Approved,2020-05-08 11:16:20,70,,2020-05-06 12:45:14,
205,5,2020,3,28,0.000,Approved,2020-05-08 11:16:20,70,,2020-05-06 12:45:14,
206,6,2020,3,28,0.000,Approved,2020-05-08 11:16:20,70,,2020-05-06 12:45:14,
207,7,2020,3,28,0.000,Approved,2020-05-08 11:16:20,70,,2020-05-06 12:45:14,
208,8,2020,3,28,0.000,Approved,2020-05-08 11:16:20,70,,2020-05-06 12:45:14,
209,1,2019,9,48,0.000,Approved,2020-07-10 16:03:04,112,,2020-07-10 15:52:05,
210,2,2019,9,48,0.000,Approved,2020-07-10 16:03:04,112,,2020-07-10 15:52:05,
211,3,2019,9,48,0.000,Approved,2020-07-10 16:03:04,112,,2020-07-10 15:52:05,
212,4,2019,9,48,0.000,Approved,2020-07-10 16:03:04,112,,2020-07-10 15:52:05,
213,5,2019,9,48,0.000,Approved,2020-07-10 16:03:04,112,,2020-07-10 15:52:05,
214,6,2019,9,48,0.000,Approved,2020-07-10 16:03:04,112,,2020-07-10 15:52:05,
215,7,2019,9,48,0.000,Approved,2020-07-10 16:03:04,112,,2020-07-10 15:52:05,
216,8,2019,9,48,0.000,Approved,2020-07-10 16:03:04,112,,2020-07-10 15:52:05,
217,1,2020,9,48,0.000,Approved,2020-07-10 16:03:09,112,,2020-07-10 15:52:17,
218,2,2020,9,48,0.000,Approved,2020-07-10 16:03:09,112,,2020-07-10 15:52:17,
219,3,2020,9,48,0.000,Approved,2020-07-10 16:03:09,112,,2020-07-10 15:52:17,
220,4,2020,9,48,0.000,Approved,2020-07-10 16:03:09,112,,2020-07-10 15:52:17,
221,5,2020,9,48,0.000,Approved,2020-07-10 16:03:09,112,,2020-07-10 15:52:17,
222,6,2020,9,48,0.000,Approved,2020-07-10 16:03:09,112,,2020-07-10 15:52:17,
223,7,2020,9,48,0.000,Approved,2020-07-10 16:03:09,112,,2020-07-10 15:52:17,
224,8,2020,9,48,0.000,Approved,2020-07-10 16:03:09,112,,2020-07-10 15:52:17,
225,1,2020,3,29,0.000,Approved,2020-07-16 11:08:37,120,,2020-07-16 10:55:14,
226,2,2020,3,29,0.000,Approved,2020-07-16 11:08:37,120,,2020-07-16 10:55:14,
227,3,2020,3,29,0.000,Approved,2020-07-16 11:08:37,120,,2020-07-16 10:55:14,
228,4,2020,3,29,0.000,Approved,2020-07-16 11:08:37,120,,2020-07-16 10:55:14,
229,5,2020,3,29,0.000,Approved,2020-07-16 11:08:37,120,,2020-07-16 10:55:14,
230,6,2020,3,29,0.000,Approved,2020-07-16 11:08:37,120,,2020-07-16 10:55:14,
231,7,2020,3,29,0.000,Approved,2020-07-16 11:08:37,120,,2020-07-16 10:55:14,
232,8,2020,3,29,0.000,Approved,2020-07-16 11:08:37,120,,2020-07-16 10:55:14,
233,1,2021,3,29,0.000,Approved,2021-04-09 13:36:12,120,,2021-04-09 13:25:07,
234,2,2021,3,29,0.000,Approved,2021-04-09 13:36:12,120,,2021-04-09 13:25:07,
235,3,2021,3,29,0.000,Approved,2021-04-09 13:36:12,120,,2021-04-09 13:25:07,
236,4,2021,3,29,0.000,Approved,2021-04-09 13:36:12,120,,2021-04-09 13:25:07,
237,5,2021,3,29,0.000,Approved,2021-04-09 13:36:12,120,,2021-04-09 13:25:07,
238,6,2021,3,29,0.000,Approved,2021-04-09 13:36:12,120,,2021-04-09 13:25:07,
239,7,2021,3,29,0.000,Approved,2021-04-09 13:36:12,120,,2021-04-09 13:25:07,
240,8,2021,3,29,0.000,Approved,2021-04-09 13:36:12,120,,2021-04-09 13:25:07,
