id,service_code,service_name,service_name_description,created_on
1,501,ASX,AREBIAN SEA EXPRESS,2020-11-24 13:18:54
2,502,WHCIX,WAN HAI CHINA INDIA EXPRESS SERVICE,2020-11-24 13:19:59
3,503,CIEThree,CHINA INDIA EXPRESS CI Three,2020-11-24 13:21:51
4,504,CWI,CHINA WEST INDIA,2020-11-24 13:22:23
5,505,FM3,FAR MED & MIDDLE EAST,2020-11-24 13:22:57
6,506,MINA,MIDDLE EAST INDIA NORTH AMERICA,2020-11-24 13:23:43
7,507,NDX,NHAVA SHEVA DOHA EXPRESS,2020-11-24 13:24:28
8,508,PS3,PASIFIC SOUTH 3,2020-11-24 13:25:04
9,509,TIP,THIALAND INDIA PAKISTAN,2020-11-24 13:25:34
10,510,AACI,AMERICA ASIA CHINA INDIA ,2020-11-24 13:26:41
11,511,FLC,FALCON SERVICE,2020-11-24 13:27:56
12,512,EPIC2, EUROPE PAKISTAN INDIA CONSORTIUM,2020-11-24 13:28:51
13,513,SWAX,SWAHILI EXPRESS,2020-11-24 13:29:17
14,514,AIS,ASIA INDIAN SUBCONTINENT,2020-11-24 14:00:53
15,515,CI2,CHINA INDIA SERVICE,2020-11-24 14:02:31
16,516,CISC,CHINA INDIA SUBCONTINANT SERVICE,2020-11-24 14:03:24
17,517,MEX,MIDDLE EAST EXPRESS SERVICE,2020-11-24 14:04:07
18,518,BOMFDR,MUMBAI FEEDER SERVICE,2020-11-24 14:05:09
19,519,MESAWA,MIDDLE EAST SOUT AFRICA WEST AFRICA,2020-11-24 14:08:19
20,520,GIX,GULF INDIA EXPRESS,2020-11-24 14:09:17
21,521,INUS,INDIA US SERVICE,2020-11-24 14:10:39
22,522,ADHOC,ADHOC,2020-11-24 14:10:59
23,523,BMM,BANDAR ABBAS SERVICE,2020-11-24 14:11:51
24,524,MECL,MIDDLE EAST CONTAINER LINE,2020-11-24 14:13:00
25,525,MIDAS,MEDIT IND AFRICA SERVICE,2020-11-24 14:13:57
26,526,IEX,INDIAN EXPRESS SERVICE,2020-11-24 14:14:51
27,527,AIM,MIDDLE EAST INDIA AFRICA EXPRESS,2020-11-24 14:16:37
28,528,HEX,HIMALAYA EXPRESS,2020-11-24 14:18:01
29,529,IIX,INDIA IRAN EXPRESS,2020-11-24 14:19:50
30,530,IMED,INDIA MEDITERRANEAN EXPRESS,2020-11-24 14:20:48
31,531,IWCS,INDIAN WEST COAST SERVICE,2021-07-12 13:31:40
32,532,BLUENILE,BLUE NILE,2021-07-20 15:36:49
33,533,IAFX,INDIA AFRICA SERVICE,2021-07-20 15:37:39
34,534,IAEX,INDIA AMERICA EXPRESS,2021-07-20 15:38:34
35,535,METwo,Mediterranean Express Two,2021-07-20 15:39:22
36,536,INOS,INDIAN OCEAN SERVICE,2021-07-20 15:40:05
37,537,MAWE,MAWINGA EXPRESS,2021-07-20 15:40:54
38,538,UIGS,UIG SERVICE,2021-07-20 15:41:53
39,539,CIEOne,CHINA INDIA EXPRESS CI One,2021-07-23 12:21:58
40,540,CIETwo,CHINA INDIA EXPRESS CI Two,2021-07-23 12:23:21
41,541,EPIC Three,EUROPE PAKISTAN INDIA CONSORTIUM Three,2021-07-23 12:23:56
42,542,CWICISix,CHINA WEST INDIA CI Six,2021-07-23 12:24:52
43,543,CWICIEight,CHINA WEST INDIA CI Eight,2021-07-23 12:26:15
44,544,CIEEight,CHINA INDIA EXPRESS CI Eight,2021-07-23 12:37:56
45,545,IRSIPL,IRISL INDIA PRIVATE LTD,2021-07-23 12:39:44
47,546,PMSPL,PAREKH MARINE SERVICES PVT LTD,2021-07-23 12:41:02
48,547,SBMAPL,SEABRIDGE MARINE AGENCIES PVT LTD,2021-07-23 12:43:37
49,548,SCI,SHIPPING CORPORATION OF INDIA,2021-07-23 12:44:07
50,549,TWSAPL,TRANSWORLD SHIPPING AGENCIES PVT LTD,2021-07-23 12:45:17
51,550,WHLI,WHAN HAI LINES INDIA PVT LTD,2021-07-23 12:45:56
52,551,CWX,CHINA WEST INDIA COAST EXPRESS,2021-07-23 15:20:48
53,552,ME Three,Mediterranean Express Three,2021-07-23 15:22:45
54,553,INDUSA,INDIA USA,2021-07-23 16:12:47
55,554,ASubX,Asia Subcontinent Express,2021-08-05 12:53:44
56,555,KAKCOS,Kakinada to Colombo Service,2021-08-11 15:25:30
57,556,KAKCOHINS,Kakinada to Cochin Service,2021-08-11 15:26:44
58,557,REDSEA,RED SEA EXPRESS,2021-08-24 10:56:55
59,558,INGWA,India Gulf West Africa,2021-08-31 12:32:25
60,559,UAEINGUL,UAE Indian Sub Continent  Gulf Service,2021-08-31 12:33:42
61,560,GoME,Goa Mangalore Express,2021-09-20 11:59:53
62,561,WCCS,West Cost Container Service,2021-09-20 12:00:24
63,562,TCI,Transport Corporation of India,2021-09-20 12:00:56
64,563,ACM,Agencia Commercial Maritima,2021-10-13 14:17:19
65,564,KaPBS,Kakinada to Port Blair Service,2021-11-17 17:19:48
66,565,NSX,Nhava Sheva Singapore Xpress,2021-12-07 10:47:54
67,566,INDAMEX TWO,Indian Subcontinent with the US East Coast ,2022-01-07 14:02:40
68,567,INDIA US TWO,India America Express TWO,2022-01-07 14:06:45
69,568,RCWINS,RCL FEEDERS CHINA WESTERN INDIA SERVICE,2022-01-07 14:18:19
70,569,SINS,Straits India Service,2022-01-07 14:23:10
71,570,ZMISZS,ZMI Service Zim Shipping,2022-02-08 13:18:36
72,571,VGIS,Vietnam gulf India Service,2022-03-08 06:48:02
73,572,AIE,ASIA ISRAEL EXPRESS,2022-07-18 13:28:29
74,573,IAE,India Africa Express,2022-10-18 16:33:50
77,574,ASone,ASone,2023-03-17 14:55:47
78,575,IWM,India West Mediterranean,2023-03-17 14:57:27
79,576,IRS,IRS,2023-03-17 14:57:42
80,577,NCIE,NEW CHINA INDIA EXPR,2023-03-17 14:58:05
81,578,RCQA,RCL CHINA WEST ASIA,2023-03-17 14:59:25
82,579,SS,SENTOSA SERVICE,2023-03-17 15:00:40
89,580,CWAX,CHINA WEST ASIA XPRESS,2023-04-20 18:23:17
90,581,IDEA,INDIA DUBAI EAST AFRIC,2023-04-20 18:24:14
91,582,IDMX,INDAMAX TWO,2023-04-20 18:24:44
92,583,IMEX,INDIA  MIDDLE  EAST XPRESS,2023-04-20 18:25:22
93,584,MEFL,MIDDLE EAST FEEDER LOOP,2023-04-20 18:25:54
94,585,IMS,INDIA MED SERVICE ,2023-04-20 18:26:13
95,0,CWAX,CHINA WEST ASIA XPRESS,2023-05-18 17:01:37
96,587,BIGE,Bangladesh India Gulf Express,2023-05-29 13:46:13
97,588,ASS,ASIA SINGAPORE SERVICE,2023-05-29 13:46:59
98,589,IDEA,INDIA DUBAI EAST AFRICA,2023-05-29 13:47:50
99,590,UIGS,UPPER INDIA GULF SERVICE,2023-05-29 13:48:11
100,591,WARM,WARM,2023-05-29 13:48:49
